_id,Condition,ICD10,ICD10QF,SMRType,FinancialYear,Gender,GenderQF,AgeGroup,AgeGroupQF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
8022,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2008/09,All,d,55-59 years, ,85.7,73.8,36.3, ,279, ,240, ,117, ,1.2
8023,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2008/09,All,d,60-64 years, ,65.1,57.7,33.7, ,204, ,180, ,105, ,1.1
8024,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2008/09,All,d,65 years and over, ,25.1,23.7,15.7, ,207, ,195, ,129, ,1.1
8025,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,Under 15 years, ,0,0,0, ,0, ,0, ,0, ,0
8026,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,15-19 years, ,12.4,10.3,9.7, ,42, ,33, ,33, ,1.3
8027,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,20-24 years, ,48.6,42.3,32.2, ,168, ,147, ,111, ,1.1
8028,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,25-29 years, ,78.6,70,44.3, ,267, ,237, ,150, ,1.1
8029,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,30-34 years, ,133.5,112.1,68.2, ,411, ,345, ,210, ,1.2
8030,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,35-39 years, ,165.5,138.3,76.9, ,585, ,489, ,270, ,1.2
8031,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,40-44 years, ,169.4,138.6,72.3, ,678, ,555, ,291, ,1.2
8032,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,45-49 years, ,172.1,142,66.6, ,684, ,564, ,264, ,1.2
8033,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,50-54 years, ,134.6,108.4,50.8, ,483, ,387, ,183, ,1.2
8034,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,55-59 years, ,85.9,72.9,35.2, ,279, ,237, ,114, ,1.2
8035,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,60-64 years, ,54.6,46.5,24.7, ,174, ,150, ,78, ,1.2
8036,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,All,d,65 years and over, ,25.7,22.8,14.3, ,216, ,192, ,120, ,1.1
8037,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,Under 15 years, ,0,0,0, ,0, ,0, ,0, ,0
8038,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,15-19 years, ,7.9,7,6.4, ,27, ,24, ,21, ,1.1
8039,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,20-24 years, ,33.7,30.6,23.8, ,120, ,108, ,84, ,1.1
8040,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,25-29 years, ,71.7,59.4,39.4, ,243, ,201, ,135, ,1.2
8041,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,30-34 years, ,99.9,88.2,49.9, ,315, ,276, ,156, ,1.1
8042,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,35-39 years, ,135.5,115.7,60.4, ,465, ,399, ,207, ,1.2
8043,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,40-44 years, ,151.8,127.1,70.8, ,594, ,498, ,279, ,1.2
8044,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,45-49 years, ,151,128,59.5, ,612, ,519, ,240, ,1.2
8045,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,50-54 years, ,107.6,88.1,39.9, ,393, ,324, ,147, ,1.2
8046,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,55-59 years, ,78.3,68.1,33.6, ,255, ,222, ,108, ,1.1
8047,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,60-64 years, ,44.1,40.2,22.5, ,144, ,132, ,75, ,1.1
8048,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,All,d,65 years and over, ,26.7,23.2,15.1, ,228, ,198, ,129, ,1.2
8049,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,Under 15 years, ,0,0,0, ,0, ,0, ,0, ,0
8050,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,15-19 years, ,10.1,8.9,7, ,33, ,30, ,24, ,1.1
8051,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,20-24 years, ,22.7,19.4,15.3, ,84, ,72, ,57, ,1.2
8052,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,25-29 years, ,59.3,51.7,31.9, ,204, ,177, ,111, ,1.2
8053,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,30-34 years, ,96,82.4,44.6, ,309, ,267, ,144, ,1.2
8054,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,35-39 years, ,124.2,107.2,56.6, ,414, ,357, ,189, ,1.2
8055,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,40-44 years, ,140.7,117.2,61.4, ,546, ,456, ,240, ,1.2
8056,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,45-49 years, ,126.7,107.1,53.4, ,516, ,435, ,216, ,1.2
8057,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,50-54 years, ,107.1,90,41.2, ,402, ,336, ,153, ,1.2
8058,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,55-59 years, ,80.4,64,34.2, ,264, ,210, ,114, ,1.3
8059,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,60-64 years, ,46.7,40.1,25.7, ,156, ,135, ,87, ,1.2
8060,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2011/12,All,d,65 years and over, ,25.6,22.5,15, ,219, ,192, ,129, ,1.1
8061,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,Under 15 years, ,0,0,0, ,0, ,0, ,0, ,0
8062,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,15-19 years, ,8.8,7.9,6.9, ,27, ,24, ,21, ,1.1
8063,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,20-24 years, ,24,21.3,17, ,90, ,78, ,63, ,1.2
8064,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,25-29 years, ,49.1,42.8,27.2, ,171, ,147, ,93, ,1.2
8065,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,30-34 years, ,83.2,74.8,45.3, ,276, ,249, ,150, ,1.1
8066,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,35-39 years, ,123.2,105.2,57.1, ,396, ,336, ,183, ,1.2
8067,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,40-44 years, ,141.4,117.3,60.7, ,537, ,447, ,231, ,1.2
8068,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,45-49 years, ,125.3,108.5,57.5, ,507, ,441, ,234, ,1.1
8069,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,50-54 years, ,98.1,86.3,43.9, ,375, ,330, ,168, ,1.1
8070,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,55-59 years, ,73.1,60.9,29.7, ,246, ,204, ,99, ,1.2
8071,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,60-64 years, ,38.8,33.5,18.8, ,123, ,108, ,60, ,1.1
8072,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2012/13,All,d,65 years and over, ,19.5,17.6,13, ,180, ,162, ,120, ,1.1
8073,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,Under 15 years, ,0,0,0, ,0, ,0, ,0, ,0
8074,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,15-19 years, ,5.4,4.7,4.7, ,18, ,15, ,15, ,1.2
8075,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,20-24 years, ,17.6,15.7,13.3, ,66, ,57, ,48, ,1.2
8076,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,25-29 years, ,53.8,45,29.9, ,189, ,159, ,105, ,1.2
8077,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,30-34 years, ,88.1,75.1,44.4, ,297, ,255, ,150, ,1.2
8078,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,35-39 years, ,118.3,106.5,54.6, ,369, ,333, ,171, ,1.1
8079,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,40-44 years, ,126.6,113.4,55, ,468, ,420, ,204, ,1.1
8080,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,45-49 years, ,127.6,109.5,52.8, ,513, ,441, ,213, ,1.2
8081,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,50-54 years, ,105,91.2,39.5, ,408, ,354, ,153, ,1.2
8082,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,55-59 years, ,80.4,70.5,35, ,276, ,243, ,120, ,1.1
8083,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,60-64 years, ,48.2,40.6,22.8, ,153, ,129, ,72, ,1.2
8084,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2013/14,All,d,65 years and over, ,21.1,19.3,13.9, ,195, ,180, ,129, ,1.1
8085,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,Under 15 years, ,0,0,0, ,0, ,0, ,0, ,0
8086,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,15-19 years, ,4.9,3.6,3.6, ,15, ,12, ,12, ,1.3
8087,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,20-24 years, ,17.6,15.7,13, ,66, ,57, ,48, ,1.2
8088,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,25-29 years, ,43.5,37.3,25.5, ,156, ,132, ,90, ,1.2
8089,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,30-34 years, ,72.4,58,31, ,246, ,198, ,105, ,1.2
8090,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,35-39 years, ,104.2,86.4,40.3, ,327, ,270, ,126, ,1.2
8091,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,40-44 years, ,127.2,107.7,54.6, ,453, ,384, ,195, ,1.2
8092,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,45-49 years, ,120.8,105.7,51.6, ,483, ,423, ,207, ,1.1
8093,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,50-54 years, ,110,96.6,45.9, ,435, ,381, ,180, ,1.1
8094,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,55-59 years, ,79.2,69.3,36.3, ,279, ,243, ,126, ,1.1
8095,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,60-64 years, ,53.1,48.3,29.1, ,165, ,150, ,90, ,1.1
8096,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2014/15,All,d,65 years and over, ,21.2,19.7,13.3, ,201, ,186, ,126, ,1.1
8097,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,Under 15 years, ,0,0,0, ,0, ,0, ,0, ,0
8098,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,15-19 years, ,5.2,4.9,4.9, ,15, ,15, ,15, ,1
8099,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,20-24 years, ,12.8,11.7,8.7, ,48, ,42, ,33, ,1.1
8100,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,25-29 years, ,41.9,37.2,24, ,153, ,135, ,87, ,1.1
8101,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,30-34 years, ,81.4,68.1,41.5, ,282, ,234, ,144, ,1.2
8102,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,35-39 years, ,107.8,90.2,50, ,342, ,288, ,159, ,1.2
8103,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,40-44 years, ,123.4,103.2,56, ,426, ,357, ,195, ,1.2
8104,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,45-49 years, ,119.2,102.3,49.1, ,468, ,402, ,192, ,1.2
8105,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,50-54 years, ,110.4,95.2,45.3, ,444, ,381, ,183, ,1.2
8106,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,55-59 years, ,75.3,66.6,28.8, ,270, ,240, ,102, ,1.1
8107,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,60-64 years, ,48.1,41.3,21.8, ,150, ,129, ,69, ,1.2
8108,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2015/16,All,d,65 years and over, ,24.1,21.1,14.5, ,234, ,204, ,138, ,1.1
8109,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,Under 15 years, ,0,0,0, ,0, ,0, ,0, ,0
8110,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,15-19 years, ,5.7,5,4.4, ,18, ,15, ,12, ,1.2
8111,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,20-24 years, ,14.3,13.5,11.5, ,51, ,48, ,42, ,1.1
8112,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,25-29 years, ,37.5,32.4,23, ,141, ,120, ,87, ,1.2
8113,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,30-34 years, ,78.7,65,36.1, ,276, ,228, ,126, ,1.2
8114,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,35-39 years, ,105.3,89.3,46.3, ,342, ,291, ,150, ,1.2
8115,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,40-44 years, ,111.9,98.5,51.7, ,375, ,330, ,174, ,1.1
8116,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,45-49 years, ,116.2,101.5,50.9, ,450, ,393, ,198, ,1.1
8117,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,50-54 years, ,94.1,82.2,40, ,378, ,330, ,162, ,1.1
8118,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,55-59 years, ,71.8,64.1,34.7, ,264, ,234, ,126, ,1.1
8119,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,60-64 years, ,50.6,42.7,23.9, ,162, ,135, ,75, ,1.2
8120,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2016/17,All,d,65 years and over, ,24.4,22.3,14.9, ,240, ,219, ,144, ,1.1
8121,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,Under 15 years, ,0,0,0, ,0, ,0, ,0, ,0
8122,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,15-19 years, ,5.9,3.8,3.8, ,18, ,12, ,12, ,1.5
8123,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,20-24 years, ,16.2,13.1,11.5, ,57, ,48, ,42, ,1.2
8124,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,25-29 years, ,30.9,27.5,21.5, ,117, ,105, ,81, ,1.1
8125,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,30-34 years, ,68,59.5,38.5, ,240, ,210, ,135, ,1.1
8126,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,35-39 years, ,97.9,89,49.7, ,330, ,300, ,168, ,1.1
8127,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,40-44 years, ,115.1,97.6,49.2, ,372, ,315, ,159, ,1.2
8128,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,45-49 years, ,108.5,92.9,45.1, ,411, ,351, ,171, ,1.2
8129,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,50-54 years, ,92.5,83.3,40.1, ,372, ,336, ,162, ,1.1
8130,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,55-59 years, ,73.5,68.8,34.6, ,276, ,258, ,129, ,1.1
8131,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,60-64 years, ,51.1,44.4,23.4, ,165, ,144, ,75, ,1.1
8132,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2017/18,All,d,65 years and over, ,26.6,23.1,15.5, ,267, ,231, ,153, ,1.2
8133,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,Under 15 years, ,0,0,0, ,0, ,0, ,0, ,0
8134,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,15-19 years, ,8.8,7.7,7.7, ,24, ,21, ,21, ,1.1
8135,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,20-24 years, ,15.4,13.4,10.8, ,54, ,48, ,39, ,1.1
8136,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,25-29 years, ,37.4,33.5,23.8, ,144, ,129, ,90, ,1.1
8137,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,30-34 years, ,65.4,56.5,32.9, ,234, ,204, ,117, ,1.1
8138,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,35-39 years, ,89.7,78.2,45.4, ,309, ,270, ,156, ,1.1
8139,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,40-44 years, ,111.1,96.2,50.4, ,351, ,303, ,159, ,1.2
8140,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,45-49 years, ,109.2,94.6,45.2, ,405, ,351, ,168, ,1.2
8141,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,50-54 years, ,100.4,88.6,43.4, ,402, ,354, ,174, ,1.1
8142,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,55-59 years, ,83.2,74.5,37.9, ,318, ,285, ,144, ,1.1
8143,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,60-64 years, ,62.2,54.2,27.6, ,207, ,180, ,93, ,1.2
8144,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2018/19,All,d,65 years and over, ,24.6,22.6,14.9, ,249, ,228, ,150, ,1.1
8145,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,Under 15 years, ,0,0, ,:,0, ,0, , ,:,0
8146,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,15-19 years, ,23.2,18.2, ,:,36, ,30, , ,:,1.2
8147,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,20-24 years, ,86.8,70.6, ,:,138, ,114, , ,:,1.2
8148,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,25-29 years, ,132.7,102.1, ,:,246, ,189, , ,:,1.3
8149,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,30-34 years, ,212.4,162.9, ,:,420, ,321, , ,:,1.3
8150,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,35-39 years, ,278.1,208.7, ,:,528, ,396, , ,:,1.3
8151,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,40-44 years, ,301.9,224.4, ,:,519, ,384, , ,:,1.4
8152,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,45-49 years, ,289.1,222.2, ,:,489, ,375, , ,:,1.3
8153,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,50-54 years, ,236.5,190.1, ,:,372, ,300, , ,:,1.2
8154,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,55-59 years, ,197.6,156, ,:,261, ,207, , ,:,1.3
8155,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,60-64 years, ,136.9,103.3, ,:,168, ,126, , ,:,1.3
8156,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1997/98,Male, ,65 years and over, ,87.8,69.3, ,:,294, ,231, , ,:,1.3
8157,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,Under 15 years, ,0,0, ,:,0, ,0, , ,:,0
8158,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,15-19 years, ,20.5,20.5, ,:,33, ,33, , ,:,1
8159,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,20-24 years, ,86.7,69.1, ,:,132, ,105, , ,:,1.3
8160,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,25-29 years, ,126.9,98.8, ,:,225, ,177, , ,:,1.3
8161,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,30-34 years, ,200.5,155.5, ,:,393, ,303, , ,:,1.3
8162,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,35-39 years, ,249.4,192.8, ,:,480, ,372, , ,:,1.3
8163,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,40-44 years, ,293.2,225.7, ,:,513, ,393, , ,:,1.3
8164,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,45-49 years, ,279.8,212.3, ,:,465, ,351, , ,:,1.3
8165,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,50-54 years, ,221.3,179.2, ,:,363, ,294, , ,:,1.2
8166,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,55-59 years, ,197.4,155.6, ,:,264, ,207, , ,:,1.3
8167,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,60-64 years, ,145.6,112.5, ,:,180, ,138, , ,:,1.3
8168,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1998/99,Male, ,65 years and over, ,80.1,66.5, ,:,273, ,228, , ,:,1.2
8169,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,Under 15 years, ,0,0, ,:,0, ,0, , ,:,0
8170,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,15-19 years, ,21.2,19.3, ,:,33, ,30, , ,:,1.1
8171,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,20-24 years, ,91.8,75.4, ,:,141, ,114, , ,:,1.2
8172,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,25-29 years, ,132.6,107.7, ,:,225, ,183, , ,:,1.2
8173,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,30-34 years, ,216.4,157.3, ,:,417, ,303, , ,:,1.4
8174,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,35-39 years, ,289,215.4, ,:,561, ,417, , ,:,1.3
8175,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,40-44 years, ,307.7,222.9, ,:,549, ,396, , ,:,1.4
8176,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,45-49 years, ,287,219.7, ,:,474, ,363, , ,:,1.3
8177,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,50-54 years, ,235.7,183.8, ,:,396, ,309, , ,:,1.3
8178,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,55-59 years, ,189.3,158.5, ,:,258, ,216, , ,:,1.2
8179,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,60-64 years, ,127.5,105.9, ,:,159, ,132, , ,:,1.2
8180,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,1999/00,Male, ,65 years and over, ,81.5,69.8, ,:,279, ,237, , ,:,1.2
8181,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,Under 15 years, ,0,0, ,:,0, ,0, , ,:,0
8182,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,15-19 years, ,19.9,16.8, ,:,33, ,27, , ,:,1.2
8183,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,20-24 years, ,70.8,57.8, ,:,108, ,90, , ,:,1.2
8184,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,25-29 years, ,146.6,109.8, ,:,234, ,177, , ,:,1.3
8185,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,30-34 years, ,194.5,150.2, ,:,363, ,282, , ,:,1.3
8186,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,35-39 years, ,239.1,180.2, ,:,468, ,351, , ,:,1.3
8187,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,40-44 years, ,268.6,194.9, ,:,489, ,354, , ,:,1.4
8188,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,45-49 years, ,249.3,195.9, ,:,411, ,324, , ,:,1.3
8189,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,50-54 years, ,215.1,173.1, ,:,369, ,297, , ,:,1.2
8190,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,55-59 years, ,181.5,146.6, ,:,249, ,201, , ,:,1.2
8191,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,60-64 years, ,112.5,94.2, ,:,141, ,117, , ,:,1.2
8192,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2000/01,Male, ,65 years and over, ,63.6,54.7, ,:,225, ,192, , ,:,1.2
